Pozo,Profundidad,Porosidad,Permeabilidad,Saturacion_agua,Volumen_arcilla
P1,1068.5,0.0001,,1.0,0.9863
P1,1068.6,0.0003,,1.0,0.8606
P1,1068.7,0.0001,,1.0,0.99
P1,1068.8,0.0012,,1.0,0.8077
P1,1070.4,0.0007,,1.0,0.8305
P1,1070.5,0.0001,,1.0,1.0
P1,1070.6,0.0001,,1.0,0.9938
P1,1070.7,0.0001,,1.0,0.9207
P1,1070.8,0.0028,,1.0,0.7682
P1,1071.2,0.0061,,1.0,0.7291
P1,1071.3,0.0001,,1.0,0.9098
P1,1071.4,0.0001,,1.0,0.966
P1,1071.5,0.0001,,1.0,1.0
P1,1071.6,0.0001,,1.0,1.0
P1,1071.7,0.0001,,1.0,0.9866
P1,1071.8,0.0032,,1.0,0.7614
P1,1072.3,0.0068,,1.0,0.7239
P1,1072.4,0.0001,,1.0,0.9085
P1,1072.5,0.0001,,1.0,0.9877
P1,1072.6,0.0001,,1.0,0.9392
P1,1072.7,0.0006,,1.0,0.8383
P1,1074.0,0.0001,,1.0,0.9685
P1,1074.1,0.0001,,1.0,0.9623
P1,1074.2,0.0001,,1.0,0.892
P1,1074.3,0.0031,,1.0,0.7638
P1,1074.4,0.0095,,1.0,0.7049
P1,1074.6,0.0046,,1.0,0.7438
P1,1074.7,0.0004,,1.0,0.847
P1,1074.8,0.0001,,1.0,0.9774
P1,1074.9,0.0001,,1.0,1.0
P1,1075.0,0.0001,,1.0,1.0
P1,1075.1,0.0001,,1.0,1.0
P1,1075.2,0.0001,,1.0,1.0
P1,1075.3,0.0001,,1.0,0.9051
P1,1075.4,0.0011,,1.0,0.8086
P1,1075.5,0.0007,,1.0,0.8282
P1,1075.8,0.0002,,1.0,0.8719
P1,1075.9,0.0001,,1.0,0.9574
P1,1076.0,0.0001,,1.0,1.0
P1,1076.1,0.0001,,1.0,0.9913
P1,1076.2,0.0001,,1.0,0.9149
P1,1076.3,0.0017,,1.0,0.7902
P1,1076.4,0.004,,1.0,0.7504
P1,1076.8,0.0003,,1.0,0.8664
P1,1076.9,0.0001,,1.0,1.0
P1,1077.0,0.0001,,1.0,1.0
P1,1077.1,0.0001,,1.0,1.0
P1,1077.2,0.0001,,1.0,1.0
P1,1077.3,0.0001,,1.0,0.9384
P1,1077.4,0.0001,,1.0,0.9721
P1,1077.5,0.0001,,1.0,1.0
P1,1077.6,0.0001,,1.0,1.0
P1,1077.7,0.0001,,1.0,1.0
P1,1077.8,0.0001,,1.0,1.0
P1,1077.9,0.0001,,1.0,0.9806
P1,1078.0,0.0002,,1.0,0.8792
P1,1078.1,0.0001,,1.0,0.9388
P1,1078.2,0.0001,,1.0,0.9733
P1,1078.3,0.0002,,1.0,0.8688
P1,1078.7,0.0011,,1.0,0.812
P1,1078.8,0.0001,,1.0,1.0
P1,1078.9,0.0001,,1.0,1.0
P1,1079.0,0.0001,,1.0,1.0
P1,1079.1,0.0001,,1.0,1.0
P1,1079.2,0.0001,,1.0,1.0
P1,1079.3,0.0009,,1.0,0.8183
P1,1079.4,0.0003,,1.0,0.8613
P1,1079.5,0.0001,,1.0,0.9955
P1,1079.6,0.0001,,1.0,1.0
P1,1079.7,0.0001,,1.0,1.0
P1,1079.8,0.0001,,1.0,1.0
P1,1079.9,0.0001,,1.0,1.0
P1,1080.0,0.0001,,1.0,1.0
P1,1080.1,0.0001,,1.0,1.0
P1,1080.2,0.0001,,1.0,1.0
P1,1080.3,0.0001,,1.0,1.0
P1,1080.4,0.0001,,1.0,1.0
P1,1080.5,0.0001,,1.0,1.0
P1,1080.6,0.0001,,1.0,1.0
P1,1080.7,0.0001,,1.0,1.0
P1,1080.8,0.0001,,1.0,1.0
P1,1080.9,0.0001,,1.0,1.0
P1,1081.0,0.0001,,1.0,1.0
P1,1081.1,0.0001,,1.0,1.0
P1,1081.2,0.0001,,1.0,1.0
P1,1081.3,0.0001,,1.0,1.0
P1,1081.4,0.0001,,1.0,1.0
P1,1081.5,0.0001,,1.0,1.0
P1,1081.6,0.0001,,1.0,1.0
P1,1081.7,0.0001,,1.0,1.0
P1,1081.8,0.0001,,1.0,1.0
P1,1081.9,0.0001,,1.0,1.0
P1,1082.0,0.0001,,1.0,1.0
P1,1082.1,0.0001,,1.0,1.0
P1,1082.2,0.0001,,1.0,1.0
P1,1082.3,0.0001,,1.0,1.0
P1,1082.4,0.0001,,1.0,1.0
P1,1082.5,0.0001,,1.0,1.0
P1,1082.6,0.0001,,1.0,1.0
P1,1082.7,0.0001,,1.0,1.0
P1,1082.8,0.0001,,1.0,1.0
P1,1082.9,0.0001,,1.0,1.0
P1,1083.0,0.0001,,1.0,1.0
P1,1083.1,0.0001,,1.0,1.0
P1,1083.2,0.0001,,1.0,1.0
P1,1083.3,0.0001,,1.0,1.0
P1,1083.4,0.0001,,1.0,1.0
P1,1083.5,0.0001,,1.0,1.0
P1,1083.6,0.0001,,1.0,1.0
P1,1083.7,0.0001,,1.0,1.0
P1,1083.8,0.0001,,1.0,1.0
P1,1083.9,0.0001,,1.0,1.0
P1,1084.0,0.0001,,1.0,1.0
P1,1084.1,0.0001,,1.0,1.0
P1,1084.2,0.0001,,1.0,1.0
P1,1084.3,0.0001,,1.0,1.0
P1,1084.4,0.0001,,1.0,1.0
P1,1084.5,0.0001,,1.0,1.0
P1,1084.6,0.0001,,1.0,1.0
