Pozo,Profundidad,Porosidad,Permeabilidad,Saturacion_agua,Volumen_arcilla
P3,1030.2,0.0759,0.0476,0.6779,0.3179
P3,1030.3,0.0676,0.0223,0.8321,0.3988
P3,1030.4,0.0439,0.0042,1,0.5584
P3,1030.5,0.0505,0.0064,1,0.568
P3,1030.6,0.0896,0.4222,0.2919,0.3924
P3,1030.7,0.1088,0.9261,0.2635,0.2996
P3,1030.8,0.1121,1.0516,0.2587,0.2711
P3,1030.9,0.106,0.8068,0.2717,0.2898
P3,1031,0.0722,0.1779,0.3252,0.4542
P3,1031.1,0.026,0.0009,1,0.6517
P3,1031.2,0.0325,0.0017,1,0.6361
P3,1031.3,0.0046,0,1,0.7512
P3,1031.4,0.0011,0,1,0.8162
P3,1031.5,0.0101,0.0001,1,0.7097
P3,1031.6,0.075,0.1987,0.326,0.4317
P3,1031.7,0.0866,0.3112,0.3232,0.3323
P3,1031.8,0.0699,0.1134,0.3877,0.3653
P3,1031.9,0.079,0.0495,0.7051,0.2751
P3,1032,0.091,0.1123,0.5791,0.1781
P3,1032.1,0.0956,0.2685,0.4031,0.1242
P3,1032.2,0.0942,0.3087,0.368,0.1182
P3,1032.3,0.0867,0.1056,0.5559,0.1634
P3,1032.4,0.0739,0.029,0.8345,0.2565
P3,1032.5,0.0679,0.0185,0.9196,0.3336
P3,1032.6,0.0689,0.0263,0.7876,0.3749
P3,1032.7,0.0885,0.2124,0.4043,0.3055
P3,1032.8,0.1057,0.5551,0.326,0.2214
P3,1032.9,0.1173,0.6247,0.3594,0.1452
P3,1033,0.112,0.3134,0.4737,0.1428
P3,1033.1,0.0954,0.1985,0.4675,0.2062
P3,1033.2,0.0731,0.1016,0.4383,0.3161
P3,1033.3,0.0345,0.0022,0.9697,0.5208
P3,1033.4,0.0289,0.0012,1,0.5983
P3,1033.5,0.0443,0.006,0.8519,0.5358
P3,1033.6,0.0773,0.1949,0.3441,0.379
P3,1033.7,0.0922,0.411,0.309,0.3064
P3,1033.8,0.0923,0.4098,0.3095,0.3029
P3,1033.9,0.067,0.1106,0.3684,0.4263
P3,1034,0.0527,0.0327,0.4727,0.5103
P3,1034.1,0.0748,0.1968,0.3259,0.4325
P3,1034.2,0.0957,0.5509,0.282,0.3675
P3,1034.3,0.1018,0.7667,0.2622,0.3761
P3,1034.4,0.072,0.0512,0.6038,0.5509
P3,1034.5,0.0169,0.0002,1,0.6792
P3,1034.6,0.0012,0,1,0.8118
P3,1034.7,0.0022,0,1,0.7869
P3,1034.8,0.0013,0,1,0.8102
P3,1034.9,0.0001,0,1,0.9447
P3,1035,0.0006,0,1,0.8385
P3,1035.1,0.0758,0.0496,0.6628,0.5636
P3,1035.2,0.1123,0.9073,0.2795,0.305
P3,1035.3,0.1201,0.9555,0.301,0.2534
P3,1035.4,0.119,0.7435,0.3366,0.1995
P3,1035.5,0.1253,0.6729,0.3825,0.1047
P3,1035.6,0.1263,0.6861,0.3831,0.0396
P3,1035.7,0.1228,0.6535,0.3766,0.0089
P3,1035.8,0.1196,0.5427,0.397,0.0001
P3,1035.9,0.1173,0.3964,0.4514,0.0116
P3,1036,0.1138,0.2085,0.5949,0.0581
P3,1036.1,0.1069,0.1044,0.7651,0.1512
P3,1036.2,0.1097,0.1447,0.6758,0.221
P3,1036.3,0.115,0.438,0.4166,0.2735
P3,1036.4,0.1307,1.4546,0.277,0.2631
P3,1036.5,0.1427,2.2736,0.2527,0.2463
P3,1036.6,0.1437,2.3405,0.2517,0.2576
P3,1036.7,0.143,2.2756,0.2534,0.266
P3,1036.8,0.1245,1.2521,0.2777,0.4157
P3,1036.9,0.1178,1.1042,0.2722,0.4841
P3,1037,0.095,0.1749,0.4949,0.5365
P3,1037.1,0.0019,0,1,0.792
P3,1037.2,0.0031,0,1,0.7696
P3,1037.3,0.0996,0.4501,0.3314,0.4631
P3,1037.4,0.104,0.4677,0.3468,0.3421
P3,1037.5,0.0967,0.3213,0.3753,0.3095
P3,1037.6,0.0945,0.288,0.3828,0.2619
P3,1037.7,0.097,0.3391,0.3665,0.2107
P3,1037.8,0.1008,0.4276,0.3462,0.1715
P3,1037.9,0.1024,0.4259,0.3553,0.1663
P3,1038,0.1059,0.472,0.3547,0.1557
P3,1038.1,0.1091,0.6321,0.3203,0.1733
P3,1038.2,0.1083,0.5757,0.3319,0.2392
P3,1038.3,0.0941,0.3084,0.3673,0.416
P3,1038.4,0.0346,0.0021,1,0.6314
P3,1038.5,0.085,0.0725,0.6511,0.5507
P3,1038.6,0.0445,0.0044,1,0.6123
P3,1038.7,0.0087,0,1,0.7178
P3,1038.8,0.0084,0,1,0.7196
P3,1038.9,0.0001,0,1,0.9225
P3,1039,0.0008,0,1,0.8288
P3,1039.1,0.0005,0,1,0.8497
P3,1039.2,0.0005,0,1,0.8445
P3,1039.3,0.004,0,1,0.7573
P3,1039.4,0.0645,0.0134,1,0.5799
P3,1039.5,0.1311,1.545,0.27,0.3819
P3,1039.6,0.1154,0.8469,0.3013,0.4067
P3,1039.7,0.1116,0.6753,0.321,0.3568
P3,1039.8,0.1173,0.8517,0.3077,0.2558
P3,1039.9,0.0954,0.311,0.3739,0.3662
P3,1040,0.0224,0.0006,1,0.6616
P3,1040.1,0.0074,0,1,0.7265
P3,1040.2,0.0002,0,1,0.8848
P3,1040.3,0.0002,0,1,0.8756
P3,1040.4,0.0001,0,1,0.9501
P3,1040.5,0.0001,0,1,0.9061
P3,1040.6,0.058,0.0097,1,0.5898
P3,1040.7,0.1213,1.2432,0.268,0.4725
P3,1040.8,0.1035,0.3619,0.3913,0.5235
P3,1040.9,0.1126,0.7582,0.3067,0.4151
P3,1041,0.096,0.3855,0.3388,0.472
P3,1041.1,0.0032,0,1,0.7686
P3,1041.2,0.0003,0,1,0.8683
P3,1041.3,0.0011,0,1,0.8161
P3,1041.4,0.0086,0,1,0.7183
P3,1041.5,0.0331,0.0018,1,0.6346
P3,1041.6,0.0926,0.3392,0.3424,0.4898
P3,1041.7,0.1121,0.4716,0.3862,0.3454
P3,1041.8,0.1183,0.741,0.3344,0.2716
P3,1041.9,0.1217,0.4376,0.454,0.2195
P3,1042,0.1092,0.1845,0.594,0.2542
P3,1042.1,0.1017,0.1758,0.5471,0.2784
P3,1042.2,0.0796,0.1053,0.4894,0.3799
P3,1042.3,0.0594,0.0218,0.6941,0.474
P3,1042.4,0.0783,0.0337,0.8439,0.3849
P3,1042.5,0.1038,0.1014,0.7426,0.2455
P3,1042.6,0.12,0.3247,0.5156,0.1314
P3,1042.7,0.1283,0.5754,0.4286,0.0416
P3,1042.8,0.1266,0.503,0.4492,0
P3,1042.9,0.1172,0.531,0.3893,0
P3,1043,0.1118,0.4095,0.413,0
P3,1043.1,0.1093,0.2271,0.536,0.0081
P3,1043.2,0.1092,0.2095,0.5579,0.0226
P3,1043.3,0.1122,0.2589,0.5222,0.0325
P3,1043.4,0.1154,0.358,0.4635,0.0484
P3,1043.5,0.1143,0.2414,0.5565,0.088
